,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
0,0.0,Tue Jun 26 21:42:46 +0000 2018,0.0,1.0,0.0,@BBCWorld,RT @richard_conway: Reports emerging here in St Petersburg that Diego Maradona was taken to hospital after Argentina’s game tonight.,1
1,-0.128,Tue Jun 26 20:12:16 +0000 2018,0.2,0.8,0.0,@BBCWorld,France: Butchers demand protection from vegans https://t.co/h0krY6YrBV,2
2,-0.836,Tue Jun 26 20:09:38 +0000 2018,0.497,0.503,0.0,@BBCWorld,Canada tycoon's son Blake Leibel jailed for 'savage' murder https://t.co/g8k1ingzK9,3
3,0.0,Tue Jun 26 20:06:47 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: Hector Cuper has left his role as Egypt manager after they were knocked out of the #WorldCup 

Full story: https://t.co/nwr8l…",4
4,0.5574,Tue Jun 26 20:06:46 +0000 2018,0.194,0.323,0.484,@BBCWorld,NSA contractor Reality Winner admits leak https://t.co/uqiSN5PWqw,5
5,0.128,Tue Jun 26 19:53:51 +0000 2018,0.056,0.872,0.072,@BBCWorld,"RT @BBCSport: FT #NGA 1-2 #ARG 

14' ⚽ Lionel Messi
51' ⚽ Victor Moses
86' ⚽ Marcos Rojo

An unlikely hero for Argentina, but it doesn't ma…",6
6,0.6114,Tue Jun 26 19:53:16 +0000 2018,0.0,0.852,0.148,@BBCWorld,"RT @BBCSport: FT: #ISL 1-2 #CRO 

For the first time ever, Croatia have won three #WorldCup games in a row! 

Iceland bow out.

Reaction: h…",7
7,0.3129,Tue Jun 26 19:48:53 +0000 2018,0.0,0.906,0.094,@BBCWorld,"RT @BBCSport: GOAL! #NGA 1-2 #ARG

Marcos Rojo?! What a finish from the defender. Argentina are back in the driving seat!

Follow #NGAARG l…",8
8,0.4738,Tue Jun 26 19:48:49 +0000 2018,0.0,0.882,0.118,@BBCWorld,"RT @BBCSport: GOAL!

Looks like it'll be three out of three for Croatia!

Ivan Perisic drives a finish into the far corner.

#ISL 1-2 #CRO…",9
9,0.0,Tue Jun 26 19:40:34 +0000 2018,0.0,1.0,0.0,@BBCWorld,Migrant family separations: States sue Trump administration https://t.co/flWhRvUMb3,10
10,-0.555,Tue Jun 26 19:36:52 +0000 2018,0.159,0.841,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Now then...

Gylfi Sigurdsson fires a penalty into the roof of the net!

#ISL 1-1 #CRO 

Live: https://t.co/aeMK9g0ELv…",11
11,0.3578,Tue Jun 26 19:13:42 +0000 2018,0.0,0.879,0.121,@BBCWorld,"RT @BBCSport: GOAL!

Straight after rattling the crossbar, Milan Badelj drives in the opener! 

#ISL 0-1 #CRO 

Live: https://t.co/aeMK9g0E…",12
12,0.0,Tue Jun 26 19:03:23 +0000 2018,0.0,1.0,0.0,@BBCWorld,Indiana child fires handgun found in sofa at Ikea https://t.co/2WsnrEnVzS,13
13,0.7559,Tue Jun 26 18:53:10 +0000 2018,0.0,0.78,0.22,@BBCWorld,"RT @BBCSport: HT: #ISL 0-0 #CRO 

Croatia will be relieved to head into the break with it goalless after a very, very strong finish to the…",14
14,-0.802,Tue Jun 26 18:11:58 +0000 2018,0.507,0.493,0.0,@BBCWorld,US college quarterback 'had brain disorder' before suicide https://t.co/SczLaFmFL0,15
15,0.0,Tue Jun 26 17:38:53 +0000 2018,0.0,1.0,0.0,@BBCWorld,Abiy Ahmed becomes Ethiopia's prime minister https://t.co/jNoIEHoKGK,16
16,-0.5574,Tue Jun 26 16:28:50 +0000 2018,0.348,0.536,0.116,@BBCWorld,Noura Hussein: Appeals court overturns death sentence https://t.co/RDLgFoYi8J,17
17,-0.4215,Tue Jun 26 16:02:33 +0000 2018,0.205,0.698,0.097,@BBCWorld,"No BBC Sports News Correspondents were harmed in the making of this film 😀

Follow the build-up to #NGAARG… https://t.co/bTg01yQpQS",18
18,0.5859,Tue Jun 26 15:54:27 +0000 2018,0.0,0.881,0.119,@BBCWorld,"RT @BBCSport: FT #AUS 0-2 #PER 

18' ⚽ Andre Carrillo
50' ⚽ Paolo Guerrero

Peru get their first win at the #WorldCup finals in 40 years. A…",19
19,0.0,Tue Jun 26 15:51:40 +0000 2018,0.0,1.0,0.0,@BBCWorld,"RT @BBCSport: FT: #DEN 0-0 #FRA 

From start to finish, a very slow game - the first goalless draw of the #WorldCup 

Reaction: https://t.c…",20
20,-0.2263,Tue Jun 26 15:49:50 +0000 2018,0.192,0.808,0.0,@BBCWorld,Guernsey airline Waves cancels flights for two months https://t.co/J2GHDGepTK,21
21,0.4939,Tue Jun 26 15:41:08 +0000 2018,0.106,0.674,0.22,@BBCWorld,"RT @BBCSport: The rags to riches story of the man who saved a Cristiano Ronaldo penalty.

Iran goalkeeper Alireza Beiranvand has come a lon…",22
22,-0.0258,Tue Jun 26 15:32:13 +0000 2018,0.189,0.629,0.182,@BBCWorld,Teenager helps deaf and blind man to communicate on flight https://t.co/NK958WcHEj,23
23,0.0,Tue Jun 26 15:25:01 +0000 2018,0.0,1.0,0.0,@BBCWorld,Marree Man: The enduring mystery of a giant outback figure https://t.co/eHf0ujmQIu,24
24,0.0,Tue Jun 26 15:19:53 +0000 2018,0.0,1.0,0.0,@BBCWorld,Ottawa Bluesfest preparations obstructed by nesting bird https://t.co/8WXtcXOyXx,25
25,-0.4404,Tue Jun 26 15:12:14 +0000 2018,0.281,0.576,0.144,@BBCWorld,Ethiopia offers Eritrea chance to end Africa's longest war https://t.co/jkEGxPSfmW,26
26,-0.4767,Tue Jun 26 15:03:43 +0000 2018,0.22,0.78,0.0,@BBCWorld,New Zealand man shot after 'flying to US to attack teenager' https://t.co/7GhI4ljjBk,27
27,0.0,Tue Jun 26 15:03:20 +0000 2018,0.0,1.0,0.0,@BBCWorld,"It's a big day at the World Cup and we've already had a goal

#AUSPER #DENFRA

https://t.co/Ledbaj9Ie4 https://t.co/yhVpPIEfY0",28
28,0.4926,Tue Jun 26 14:55:35 +0000 2018,0.0,0.738,0.262,@BBCWorld,"RT @BBCMonitoring: VAR! What is it good for? #WorldCup
https://t.co/bckchMpWxD",29
29,-0.5574,Tue Jun 26 14:50:28 +0000 2018,0.31,0.69,0.0,@BBCWorld,Trump travel ban: What does this ruling mean? https://t.co/My2sno3EC9,30
30,0.5719,Tue Jun 26 14:47:23 +0000 2018,0.0,0.866,0.134,@BBCWorld,"RT @BBCSport: HT #AUS 0-1 #PER 

18' ⚽ Andre Carrillo

A wonderful volley from the Peru winger is the difference at the halfway mark. Austr…",31
31,0.0,Tue Jun 26 14:41:59 +0000 2018,0.0,1.0,0.0,@BBCWorld,Eritrea and Ethiopia open first high-level talks in 20 years https://t.co/tFjP29Yfxo,32
32,-0.7845,Tue Jun 26 14:34:20 +0000 2018,0.398,0.498,0.104,@BBCWorld,"DR Congo's Kasai crisis: War crimes committed by both sides, UN says https://t.co/pNp6LaLcS0",33
33,0.0,Tue Jun 26 14:26:32 +0000 2018,0.273,0.455,0.273,@BBCWorld,US Supreme Court upholds Trump's travel ban https://t.co/gdKK9xrp5i,34
34,-0.2695,Tue Jun 26 14:24:13 +0000 2018,0.09,0.91,0.0,@BBCWorld,"RT @BBCSport: GOAL! #AUS 0-1 #PER

What a strike! Andre Carrillo scores Peru's first goal at a #WorldCup in 36 years.

Follow #AUSPER live…",35
35,0.6705,Tue Jun 26 14:06:48 +0000 2018,0.0,0.744,0.256,@BBCWorld,"""Most people don't talk about organ donations when they're alive, but thankfully Phil did talk about it.""  https://t.co/mkegh8J61p",36
36,-0.3612,Tue Jun 26 12:30:54 +0000 2018,0.293,0.526,0.18,@BBCWorld,Syria war: Government forces make gains in south-west https://t.co/P3RenLLxyw,37
37,-0.4939,Tue Jun 26 11:58:14 +0000 2018,0.262,0.738,0.0,@BBCWorld,'Stolen babies' case: Spanish doctor Vela goes on trial https://t.co/8gFZXKRnWk,38
38,-0.3182,Tue Jun 26 11:53:04 +0000 2018,0.187,0.813,0.0,@BBCWorld,Jane Subachus: Family makes desperate appeal for stem cell donor https://t.co/mlG6ZklUOQ,39
39,0.0,Tue Jun 26 11:31:09 +0000 2018,0.0,1.0,0.0,@BBCWorld,PSNI's Drew Harris appointed Garda commissioner https://t.co/2nEbR5ygac,40
40,-0.8555,Tue Jun 26 11:22:13 +0000 2018,0.42,0.58,0.0,@BBCWorld,Police in South Korea have arrested one of the owners of a notorious revenge porn site https://t.co/pHGMJCrmAp,41
41,0.0,Tue Jun 26 11:19:11 +0000 2018,0.0,1.0,0.0,@BBCWorld,Japan unveils Hello Kitty-themed bullet train https://t.co/mzvzrMvnlE,42
42,-0.7906,Tue Jun 26 11:16:27 +0000 2018,0.318,0.682,0.0,@BBCWorld,"Soldiers in Myanmar have been accused of raping Rohingya women 

This is one woman's story https://t.co/J4GvJOlzah https://t.co/xREMCmcuEe",43
